0.16,0.32,0.46
0.16,0.36,0.49
0.18,0.33,0.46
0.18,0.35,0.48
0.14,0.33,0.44
0.17,0.36,0.49
0.16,0.32,0.41
0.19,0.34,0.48
0.18,0.37,0.49
